"id","title","keyword","pos"
209112,"Batman v Superman: Dawn of Justice","clark kent",7
209112,"Batman v Superman: Dawn of Justice","bruce wayne",8
209112,"Batman v Superman: Dawn of Justice","dc extended universe",9
1452,"Superman Returns","saving the world",1
1452,"Superman Returns","dc comics",2
1452,"Superman Returns","invulnerability",3
1452,"Superman Returns","sequel",4
1452,"Superman Returns","superhero",5
1452,"Superman Returns","based on comic book",6
1452,"Superman Returns","kryptonite",7
1452,"Superman Returns","super powers",8
1452,"Superman Returns","superhuman strength",9
1452,"Superman Returns","lex luthor",10
10764,"Quantum of Solace","killing",1
10764,"Quantum of Solace","undercover",2
10764,"Quantum of Solace","secret agent",3
10764,"Quantum of Solace","british secret service",4
58,"Pirates of the Caribbean: Dead Mans Chest","witch",1
58,"Pirates of the Caribbean: Dead Mans Chest","fortune teller",2
58,"Pirates of the Caribbean: Dead Mans Chest","bondage",3
58,"Pirates of the Caribbean: Dead Mans Chest","exotic island",4
58,"Pirates of the Caribbean: Dead Mans Chest","monster",5
58,"Pirates of the Caribbean: Dead Mans Chest","captain",6
58,"Pirates of the Caribbean: Dead Mans Chest","card game",7
58,"Pirates of the Caribbean: Dead Mans Chest","east india trading company",8
58,"Pirates of the Caribbean: Dead Mans Chest","compass",9
58,"Pirates of the Caribbean: Dead Mans Chest","ship",10
58,"Pirates of the Caribbean: Dead Mans Chest","daughter",11
58,"Pirates of the Caribbean: Dead Mans Chest","pirate",12
58,"Pirates of the Caribbean: Dead Mans Chest","swashbuckler",13
58,"Pirates of the Caribbean: Dead Mans Chest","aftercreditsstinger",14
57201,"The Lone Ranger","texas",1
57201,"The Lone Ranger","horse",2
57201,"The Lone Ranger","survivor",3
57201,"The Lone Ranger","texas ranger",4
57201,"The Lone Ranger","partner",5
57201,"The Lone Ranger","outlaw",6
57201,"The Lone Ranger","escape",7
57201,"The Lone Ranger","lawyer",8
57201,"The Lone Ranger","train",9
57201,"The Lone Ranger","lone ranger",10
57201,"The Lone Ranger","comanche",11
57201,"The Lone Ranger","the lone ranger",12
57201,"The Lone Ranger","tonto",13
49521,"Man of Steel","saving the world",1
49521,"Man of Steel","dc comics",2
49521,"Man of Steel","superhero",3
49521,"Man of Steel","based on comic book",4
49521,"Man of Steel","superhuman",5
49521,"Man of Steel","alien invasion",6
49521,"Man of Steel","reboot",7
49521,"Man of Steel","super powers",8
49521,"Man of Steel","dc extended universe",9
2454,"The Chronicles of Narnia: Prince Caspian","based on novel",1
2454,"The Chronicles of Narnia: Prince Caspian","fictional place",2
2454,"The Chronicles of Narnia: Prince Caspian","brother sister relationship",3
2454,"The Chronicles of Narnia: Prince Caspian","lion",4
2454,"The Chronicles of Narnia: Prince Caspian","human being",5
2454,"The Chronicles of Narnia: Prince Caspian","wretch",6
2454,"The Chronicles of Narnia: Prince Caspian","leap in time",7
2454,"The Chronicles of Narnia: Prince Caspian","matter of life and death",8
2454,"The Chronicles of Narnia: Prince Caspian","faith",9
2454,"The Chronicles of Narnia: Prince Caspian","uncle",10
2454,"The Chronicles of Narnia: Prince Caspian","narnia",11
2454,"The Chronicles of Narnia: Prince Caspian","fantasy world",12
24428,"The Avengers","new york",1
24428,"The Avengers","shield",2
24428,"The Avengers","marvel comic",3
24428,"The Avengers","superhero",4
24428,"The Avengers","based on comic book",5
24428,"The Avengers","alien invasion",6
24428,"The Avengers","superhero team",7
24428,"The Avengers","aftercreditsstinger",8
24428,"The Avengers","duringcreditsstinger",9
24428,"The Avengers","marvel cinematic universe",10
1865,"Pirates of the Caribbean: On Stranger Tides","sea",1
1865,"Pirates of the Caribbean: On Stranger Tides","captain",2
1865,"Pirates of the Caribbean: On Stranger Tides","mutiny",3
1865,"Pirates of the Caribbean: On Stranger Tides","sword",4
1865,"Pirates of the Caribbean: On Stranger Tides","prime minister",5
1865,"Pirates of the Caribbean: On Stranger Tides","sailing",6
1865,"Pirates of the Caribbean: On Stranger Tides","silver",7
1865,"Pirates of the Caribbean: On Stranger Tides","ship",8
1865,"Pirates of the Caribbean: On Stranger Tides","duke",9
1865,"Pirates of the Caribbean: On Stranger Tides","mermaid",10
1865,"Pirates of the Caribbean: On Stranger Tides","pirate",11
1865,"Pirates of the Caribbean: On Stranger Tides","soldier",12
1865,"Pirates of the Caribbean: On Stranger Tides","battle",13
1865,"Pirates of the Caribbean: On Stranger Tides","swashbuckler",14
1865,"Pirates of the Caribbean: On Stranger Tides","aftercreditsstinger",15
1865,"Pirates of the Caribbean: On Stranger Tides","3d",16
41154,"Men in Black 3","time travel",1
41154,"Men in Black 3","time machine",2
41154,"Men in Black 3","alien",3
41154,"Men in Black 3","fictional government agency",4
41154,"Men in Black 3","seeing the future",5
41154,"Men in Black 3","changing history",6
122917,"The Hobbit: The Battle of the Five Armies","corruption",1
122917,"The Hobbit: The Battle of the Five Armies","elves",2
122917,"The Hobbit: The Battle of the Five Armies","dwarves",3
122917,"The Hobbit: The Battle of the Five Armies","orcs",4
122917,"The Hobbit: The Battle of the Five Armies","middle-earth (tolkien)",5
122917,"The Hobbit: The Battle of the Five Armies","hobbit",6
122917,"The Hobbit: The Battle of the Five Armies","dragon",7
122917,"The Hobbit: The Battle of the Five Armies","battle",8
122917,"The Hobbit: The Battle of the Five Armies","unlikely friendship",9
122917,"The Hobbit: The Battle of the Five Armies","epic battle",10
122917,"The Hobbit: The Battle of the Five Armies","sword and sorcery",11
1930,"The Amazing Spider-Man","loss of father",1
1930,"The Amazing Spider-Man","vigilante",2
1930,"The Amazing Spider-Man","serum",3
1930,"The Amazing Spider-Man","marvel comic",4
1930,"The Amazing Spider-Man","scientific experiment",5
1930,"The Amazing Spider-Man","spider bite",6
1930,"The Amazing Spider-Man","masked vigilante",7
1930,"The Amazing Spider-Man","reboot",8
1930,"The Amazing Spider-Man","super powers",9
1930,"The Amazing Spider-Man","genetic engineering",10
1930,"The Amazing Spider-Man","social outcast",11
1930,"The Amazing Spider-Man","duringcreditsstinger",12
20662,"Robin Hood","robin hood",1
20662,"Robin Hood","archer",2
20662,"Robin Hood","knight",3
20662,"Robin Hood","sherwood forest",4
20662,"Robin Hood","bow and arrow",5
20662,"Robin Hood","middle ages",6
20662,"Robin Hood","medieval",7
20662,"Robin Hood","king of england",8
57158,"The Hobbit: The Desolation of Smaug","elves",1
57158,"The Hobbit: The Desolation of Smaug","dwarves",2
57158,"The Hobbit: The Desolation of Smaug","orcs",3
57158,"The Hobbit: The Desolation of Smaug","hobbit",4
57158,"The Hobbit: The Desolation of Smaug","dragon",5
57158,"The Hobbit: The Desolation of Smaug","wizard",6
57158,"The Hobbit: The Desolation of Smaug","sword and sorcery",7
2268,"The Golden Compass","england",1
2268,"The Golden Compass","compass",2
2268,"The Golden Compass","experiment",3
2268,"The Golden Compass","lordship",4
2268,"The Golden Compass","uncle",5
2268,"The Golden Compass","polar bear",6
2268,"The Golden Compass","orphan",7
2268,"The Golden Compass","animal",8
2268,"The Golden Compass","based on young adult novel",9
254,"King Kong","film business",1
254,"King Kong","screenplay",2
254,"King Kong","show business",3
254,"King Kong","film making",4
254,"King Kong","film producer",5
254,"King Kong","exotic island",6
254,"King Kong","monster",7
254,"King Kong","indigenous",8
254,"King Kong","ship",9
254,"King Kong","dinosaur",10
597,"Titanic","shipwreck",1
597,"Titanic","iceberg",2
597,"Titanic","ship",3
597,"Titanic","panic",4
597,"Titanic","titanic",5
597,"Titanic","ocean liner",6
597,"Titanic","epic",7
597,"Titanic","rich woman - poor man",8
597,"Titanic","love",9
597,"Titanic","disaster",10
597,"Titanic","tragic love",11
597,"Titanic","class differences",12
597,"Titanic","imax",13
597,"Titanic","star crossed lovers",14
597,"Titanic","steerage",15
597,"Titanic","salvage",16
597,"Titanic","rich snob",17
597,"Titanic","3d",18
597,"Titanic","1910s",19
271110,"Captain America: Civil War","civil war",1
271110,"Captain America: Civil War","war",2
271110,"Captain America: Civil War","marvel comic",3
271110,"Captain America: Civil War","sequel",4
271110,"Captain America: Civil War","superhero",5
271110,"Captain America: Civil War","based on comic book",6
271110,"Captain America: Civil War","imax",7
271110,"Captain America: Civil War","aftercreditsstinger",8
271110,"Captain America: Civil War","duringcreditsstinger",9
271110,"Captain America: Civil War","marvel cinematic universe",10
271110,"Captain America: Civil War","3d",11
44833,"Battleship","fight",1
44833,"Battleship","u.s. navy",2
44833,"Battleship","mind reading",3
44833,"Battleship","hong kong",4
44833,"Battleship","soccer",5
44833,"Battleship","scientist",6
44833,"Battleship","fictional war",7
44833,"Battleship","naval",8
44833,"Battleship","armada",9
44833,"Battleship","battleship",10
44833,"Battleship","naval combat",11
44833,"Battleship","jds myoko",12
44833,"Battleship","lost communication",13
44833,"Battleship","taser",14
44833,"Battleship","buoy",15
44833,"Battleship","communications expert",16
44833,"Battleship","joint chiefs of staff",17
44833,"Battleship","crash landing",18
44833,"Battleship","jet fighter pilot",19
44833,"Battleship","navy lieutenant",20
44833,"Battleship","permission to marry",21
44833,"Battleship","uss john paul jones",22
44833,"Battleship","based on board game",23
44833,"Battleship","aftercreditsstinger",24
44833,"Battleship","mighty mo",25
44833,"Battleship","uss missouri",26
135397,"Jurassic World","monster",1
135397,"Jurassic World","dna",2
135397,"Jurassic World","tyrannosaurus rex",3
135397,"Jurassic World","velociraptor",4
135397,"Jurassic World","island",5
135397,"Jurassic World","sequel",6
135397,"Jurassic World","suspense",7
135397,"Jurassic World","disaster",8
135397,"Jurassic World","escape",9
135397,"Jurassic World","dinosaur",10
135397,"Jurassic World","amusement park",11
135397,"Jurassic World","animal attack",12
135397,"Jurassic World","theme park",13
135397,"Jurassic World","jurassic park",14
135397,"Jurassic World","3d",15
135397,"Jurassic World","animal horror",16
37724,"Skyfall","spy",1
37724,"Skyfall","secret agent",2
37724,"Skyfall","sociopath",3
37724,"Skyfall","killer",4
37724,"Skyfall","art gallery",5
37724,"Skyfall","british secret service",6
37724,"Skyfall","istanbul turkey",7
37724,"Skyfall","imax",8
37724,"Skyfall","uzi",9
37724,"Skyfall","booby trap",10
37724,"Skyfall","impersonating a police officer",11
37724,"Skyfall","macao",12
558,"Spider-Man 2","dual identity",1
558,"Spider-Man 2","love of one's life",2
558,"Spider-Man 2","pizza boy",3
558,"Spider-Man 2","marvel comic",4
558,"Spider-Man 2","sequel",5
558,"Spider-Man 2","superhero",6
558,"Spider-Man 2","doctor",7
558,"Spider-Man 2","scientist",8
558,"Spider-Man 2","tentacle",9
558,"Spider-Man 2","death",10
558,"Spider-Man 2","super villain",11
68721,"Iron Man 3","terrorist",1
68721,"Iron Man 3","war on terror",2
68721,"Iron Man 3","tennessee",3
68721,"Iron Man 3","malibu",4
68721,"Iron Man 3","marvel comic",5
68721,"Iron Man 3","superhero",6
68721,"Iron Man 3","based on comic book",7
68721,"Iron Man 3","tony stark",8
68721,"Iron Man 3","iron man",9
68721,"Iron Man 3","aftercreditsstinger",10
68721,"Iron Man 3","marvel cinematic universe",11
68721,"Iron Man 3","mandarin",12
68721,"Iron Man 3","3d",13
68721,"Iron Man 3","war machine",14
68721,"Iron Man 3","iron patriot",15
68721,"Iron Man 3","extremis",16
12155,"Alice in Wonderland","based on novel",1
12155,"Alice in Wonderland","fictional place",2
12155,"Alice in Wonderland","queen",3
12155,"Alice in Wonderland","fantasy",4
12155,"Alice in Wonderland","alice in wonderland",5
12155,"Alice in Wonderland","fantasy world",6
12155,"Alice in Wonderland","3d",7
36668,"X-Men: The Last Stand","mutant",1
36668,"X-Men: The Last Stand","marvel comic",2
36668,"X-Men: The Last Stand","based on comic book",3
36668,"X-Men: The Last Stand","superhuman",4
36668,"X-Men: The Last Stand","beast",5
36668,"X-Men: The Last Stand","cyclops",6
36668,"X-Men: The Last Stand","aftercreditsstinger",7
62211,"Monsters University","monster",1
62211,"Monsters University","dormitory",2
62211,"Monsters University","games",3
62211,"Monsters University","animation",4
62211,"Monsters University","best friend",5
62211,"Monsters University","university",6
62211,"Monsters University","scary",7
62211,"Monsters University","aftercreditsstinger",8
8373,"Transformers: Revenge of the Fallen","egypt",1
8373,"Transformers: Revenge of the Fallen","sun",2
8373,"Transformers: Revenge of the Fallen","chaos",3
8373,"Transformers: Revenge of the Fallen","symbol",4
8373,"Transformers: Revenge of the Fallen","artifact",5
8373,"Transformers: Revenge of the Fallen","transformers",6
8373,"Transformers: Revenge of the Fallen","tank",7
8373,"Transformers: Revenge of the Fallen","robot",8
8373,"Transformers: Revenge of the Fallen","imax",9
8373,"Transformers: Revenge of the Fallen","duringcreditsstinger",10
91314,"Transformers: Age of Extinction","sequel",1
91314,"Transformers: Age of Extinction","alien",2
91314,"Transformers: Age of Extinction","transformers",3
91314,"Transformers: Age of Extinction","giant robot",4
91314,"Transformers: Age of Extinction","robot",5
91314,"Transformers: Age of Extinction","imax",6
91314,"Transformers: Age of Extinction","transforming robot",7
68728,"Oz: The Great and Powerful","circus",1
68728,"Oz: The Great and Powerful","witch",2
68728,"Oz: The Great and Powerful","magic",3
68728,"Oz: The Great and Powerful","hope",4
68728,"Oz: The Great and Powerful","illusion",5
68728,"Oz: The Great and Powerful","lost",6
68728,"Oz: The Great and Powerful","magic trick",7
68728,"Oz: The Great and Powerful","wizard",8
68728,"Oz: The Great and Powerful","3d",9
102382,"The Amazing Spider-Man 2","obsession",1
102382,"The Amazing Spider-Man 2","marvel comic",2
102382,"The Amazing Spider-Man 2","sequel",3
102382,"The Amazing Spider-Man 2","based on comic book",4
102382,"The Amazing Spider-Man 2","electrocution",5
102382,"The Amazing Spider-Man 2","medical experiment",6
102382,"The Amazing Spider-Man 2","electricity",7
102382,"The Amazing Spider-Man 2","super powers",8
20526,"TRON: Legacy","artificial intelligence",1
20526,"TRON: Legacy","secret identity",2
20526,"TRON: Legacy","computer program",3
20526,"TRON: Legacy","dystopia",4
20526,"TRON: Legacy","computer",5
20526,"TRON: Legacy","deception",6
20526,"TRON: Legacy","duel",7
20526,"TRON: Legacy","motorcycle",8
20526,"TRON: Legacy","neon light",9
20526,"TRON: Legacy","autocracy",10
49013,"Cars 2","car race",1
49013,"Cars 2","sequel",2
49013,"Cars 2","comedy",3
49013,"Cars 2","anthropomorphism",4
49013,"Cars 2","best friend",5
49013,"Cars 2","duringcreditsstinger",6
44912,"Green Lantern","dc comics",1
44912,"Green Lantern","transformation",2
44912,"Green Lantern","superhero",3
44912,"Green Lantern","alien",4
44912,"Green Lantern","alien infection",5
44912,"Green Lantern","magical object",6
44912,"Green Lantern","protector",7
44912,"Green Lantern","super powers",8
44912,"Green Lantern","origin",9
44912,"Green Lantern","3d",10
10193,"Toy Story 3","hostage",1
10193,"Toy Story 3","college",2
10193,"Toy Story 3","toy",3
10193,"Toy Story 3","barbie",4
10193,"Toy Story 3","animation",5
10193,"Toy Story 3","escape",6
10193,"Toy Story 3","day care",7
10193,"Toy Story 3","teddy bear",8
10193,"Toy Story 3","duringcreditsstinger",9
10193,"Toy Story 3","toy comes to life",10
10193,"Toy Story 3","personification",11
10193,"Toy Story 3","inanimate objects coming to life",12
10193,"Toy Story 3","toy story",13
534,"Terminator Salvation","saving the world",1
534,"Terminator Salvation","artificial intelligence",2
534,"Terminator Salvation","prophecy",3
534,"Terminator Salvation","san francisco",4
534,"Terminator Salvation","cyborg",5
534,"Terminator Salvation","killer robot",6
534,"Terminator Salvation","gas station",7
534,"Terminator Salvation","post-apocalyptic",8
534,"Terminator Salvation","dystopia",9
534,"Terminator Salvation","army",10
534,"Terminator Salvation","firearm",11
534,"Terminator Salvation","wartime",12
534,"Terminator Salvation","los angeles",13
168259,"Furious 7","car race",1
168259,"Furious 7","speed",2
168259,"Furious 7","revenge",3
168259,"Furious 7","suspense",4
168259,"Furious 7","car",5
168259,"Furious 7","race",6
168259,"Furious 7","muscle car",7
72190,"World War Z","dystopia",1
72190,"World War Z","apocalypse",2
72190,"World War Z","zombie",3
72190,"World War Z","nuclear weapons",4
72190,"World War Z","multiple perspectives",5
72190,"World War Z","zombie apocalypse",6
127585,"X-Men: Days of Future Past","1970s",1
127585,"X-Men: Days of Future Past","mutant",2
127585,"X-Men: Days of Future Past","time travel",3
127585,"X-Men: Days of Future Past","marvel comic",4
127585,"X-Men: Days of Future Past","based on comic book",5
127585,"X-Men: Days of Future Past","superhuman",6
127585,"X-Men: Days of Future Past","storm",7
127585,"X-Men: Days of Future Past","beast",8
127585,"X-Men: Days of Future Past","aftercreditsstinger",9
127585,"X-Men: Days of Future Past","changing the past or future",10
54138,"Star Trek Into Darkness","spacecraft",1
54138,"Star Trek Into Darkness","friendship",2
54138,"Star Trek Into Darkness","sequel",3
54138,"Star Trek Into Darkness","futuristic",4
54138,"Star Trek Into Darkness","space",5
54138,"Star Trek Into Darkness","alien",6
54138,"Star Trek Into Darkness","imax",7
54138,"Star Trek Into Darkness","space opera",8
54138,"Star Trek Into Darkness","terrorist bombing",9
54138,"Star Trek Into Darkness","3d",10
81005,"Jack the Giant Slayer","based on fairy tale",1
81005,"Jack the Giant Slayer","giant",2
64682,"The Great Gatsby","based on novel",1
64682,"The Great Gatsby","infidelity",2
64682,"The Great Gatsby","obsession",3
64682,"The Great Gatsby","hope",4
64682,"The Great Gatsby","3d",5
9543,"Prince of Persia: The Sands of Time","persia",1
9543,"Prince of Persia: The Sands of Time","sandstorm",2
9543,"Prince of Persia: The Sands of Time","brother against brother",3
9543,"Prince of Persia: The Sands of Time","armageddon",4
9543,"Prince of Persia: The Sands of Time","regent",5
9543,"Prince of Persia: The Sands of Time","based on video game",6
68726,"Pacific Rim","dystopia",1
68726,"Pacific Rim","giant robot",2
68726,"Pacific Rim","giant monster",3
68726,"Pacific Rim","apocalypse",4
68726,"Pacific Rim","imax",5
68726,"Pacific Rim","duringcreditsstinger",6
68726,"Pacific Rim","3d",7
38356,"Transformers: Dark of the Moon","moon",1
38356,"Transformers: Dark of the Moon","spacecraft",2
38356,"Transformers: Dark of the Moon","traitor",3
38356,"Transformers: Dark of the Moon","bodyguard",4
38356,"Transformers: Dark of the Moon","alien planet",5
38356,"Transformers: Dark of the Moon","based on cartoon",6
38356,"Transformers: Dark of the Moon","transformers",7
38356,"Transformers: Dark of the Moon","giant robot",8
38356,"Transformers: Dark of the Moon","sabotage",9
38356,"Transformers: Dark of the Moon","word domination",10
38356,"Transformers: Dark of the Moon","commando",11
38356,"Transformers: Dark of the Moon","duringcreditsstinger",12
217,"Indiana Jones and the Kingdom of the Crystal Skull","saving the world",1
217,"Indiana Jones and the Kingdom of the Crystal Skull","riddle",2
217,"Indiana Jones and the Kingdom of the Crystal Skull","whip",3
217,"Indiana Jones and the Kingdom of the Crystal Skull","treasure",4
217,"Indiana Jones and the Kingdom of the Crystal Skull","mexico city",5
217,"Indiana Jones and the Kingdom of the Crystal Skull","leather jacket",6
217,"Indiana Jones and the Kingdom of the Crystal Skull","machinegun",7
217,"Indiana Jones and the Kingdom of the Crystal Skull","alien phenomenons",8
217,"Indiana Jones and the Kingdom of the Crystal Skull","maya civilization",9
217,"Indiana Jones and the Kingdom of the Crystal Skull","peru",10
217,"Indiana Jones and the Kingdom of the Crystal Skull","treasure hunt",11
217,"Indiana Jones and the Kingdom of the Crystal Skull","nuclear explosion",12
217,"Indiana Jones and the Kingdom of the Crystal Skull","refrigerator",13
217,"Indiana Jones and the Kingdom of the Crystal Skull","archaeologist",14
217,"Indiana Jones and the Kingdom of the Crystal Skull","indiana jones",15
217,"Indiana Jones and the Kingdom of the Crystal Skull","archeology ",16
105864,"The Good Dinosaur","tyrannosaurus rex",1
105864,"The Good Dinosaur","friends",2
105864,"The Good Dinosaur","alternate history",3
105864,"The Good Dinosaur","dinosaur",4
105864,"The Good Dinosaur","fear",5
105864,"The Good Dinosaur","storm",6
105864,"The Good Dinosaur","nature",7
105864,"The Good Dinosaur","human",8
105864,"The Good Dinosaur","journey",9
62177,"Brave","scotland",1
62177,"Brave","rebel",2
62177,"Brave","bravery",3
62177,"Brave","kingdom",4
62177,"Brave","archer",5
62177,"Brave","wish",6
62177,"Brave","bear",7
62177,"Brave","scot",8
62177,"Brave","rebellious daughter",9
62177,"Brave","turns into animal",10
62177,"Brave","archery",11
62177,"Brave","ruins",12
62177,"Brave","aftercreditsstinger",13
62177,"Brave","peace offering",14
62177,"Brave","woman director",15
62177,"Brave","courage",16
62177,"Brave","3d",17
188927,"Star Trek Beyond","sequel",1
188927,"Star Trek Beyond","stranded",2
188927,"Star Trek Beyond","hatred",3
188927,"Star Trek Beyond","space opera",4
10681,"WALL·E","romantic comedy",1
5174,"Rush Hour 3","ambassador",1
14161,"2012","civilization",1
14161,"2012","natural disaster",2
14161,"2012","end of the world",3
14161,"2012","disaster",4
14161,"2012","apocalypse",5
14161,"2012","destruction",6
14161,"2012","volcanic eruption",7
14161,"2012","mayan",8
14161,"2012","ark",9
14161,"2012","solar",10
14161,"2012","destruction  of mankind",11
17979,"A Christmas Carol","holiday",1
17979,"A Christmas Carol","based on novel",2
17979,"A Christmas Carol","victorian england",3
17979,"A Christmas Carol","money",4
17979,"A Christmas Carol","christmas eve",5
17979,"A Christmas Carol","scrooge",6
17979,"A Christmas Carol","christmas carol",7
17979,"A Christmas Carol","ghost",8
17979,"A Christmas Carol","lesson",9
17979,"A Christmas Carol","charles dickens",10
17979,"A Christmas Carol","christmas",11
76757,"Jupiter Ascending","jupiter",1
76757,"Jupiter Ascending","space",2
76757,"Jupiter Ascending","woman director",3
76757,"Jupiter Ascending","3d",4
76757,"Jupiter Ascending","interspecies romance",5
258489,"The Legend of Tarzan","africa",1
258489,"The Legend of Tarzan","feral child",2
258489,"The Legend of Tarzan","tarzan",3
258489,"The Legend of Tarzan","jungle",4
258489,"The Legend of Tarzan","animal attack",5
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","saving the world",1
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","witch",2
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","based on novel",3
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","brother sister relationship",4
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","self sacrifice",5
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","winter",6
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","cupboard",7
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","beaver",8
