"id","title","genres","pos"
1930,"The Amazing Spider-Man","Action",1
1930,"The Amazing Spider-Man","Adventure",2
1930,"The Amazing Spider-Man","Fantasy",3
20662,"Robin Hood","Action",1
20662,"Robin Hood","Adventure",2
57158,"The Hobbit: The Desolation of Smaug","Adventure",1
57158,"The Hobbit: The Desolation of Smaug","Fantasy",2
2268,"The Golden Compass","Adventure",1
2268,"The Golden Compass","Fantasy",2
254,"King Kong","Adventure",1
254,"King Kong","Drama",2
254,"King Kong","Action",3
597,"Titanic","Drama",1
597,"Titanic","Romance",2
597,"Titanic","Thriller",3
271110,"Captain America: Civil War","Adventure",1
271110,"Captain America: Civil War","Action",2
271110,"Captain America: Civil War","Science Fiction",3
44833,"Battleship","Thriller",1
44833,"Battleship","Action",2
44833,"Battleship","Adventure",3
44833,"Battleship","Science Fiction",4
135397,"Jurassic World","Action",1
135397,"Jurassic World","Adventure",2
135397,"Jurassic World","Science Fiction",3
135397,"Jurassic World","Thriller",4
37724,"Skyfall","Action",1
37724,"Skyfall","Adventure",2
37724,"Skyfall","Thriller",3
558,"Spider-Man 2","Action",1
558,"Spider-Man 2","Adventure",2
558,"Spider-Man 2","Fantasy",3
68721,"Iron Man 3","Action",1
68721,"Iron Man 3","Adventure",2
68721,"Iron Man 3","Science Fiction",3
12155,"Alice in Wonderland","Family",1
12155,"Alice in Wonderland","Fantasy",2
12155,"Alice in Wonderland","Adventure",3
36668,"X-Men: The Last Stand","Adventure",1
36668,"X-Men: The Last Stand","Action",2
36668,"X-Men: The Last Stand","Science Fiction",3
36668,"X-Men: The Last Stand","Thriller",4
62211,"Monsters University","Animation",1
62211,"Monsters University","Family",2
8373,"Transformers: Revenge of the Fallen","Science Fiction",1
8373,"Transformers: Revenge of the Fallen","Action",2
8373,"Transformers: Revenge of the Fallen","Adventure",3
91314,"Transformers: Age of Extinction","Science Fiction",1
91314,"Transformers: Age of Extinction","Action",2
91314,"Transformers: Age of Extinction","Adventure",3
68728,"Oz: The Great and Powerful","Fantasy",1
68728,"Oz: The Great and Powerful","Adventure",2
68728,"Oz: The Great and Powerful","Family",3
102382,"The Amazing Spider-Man 2","Action",1
102382,"The Amazing Spider-Man 2","Adventure",2
102382,"The Amazing Spider-Man 2","Fantasy",3
20526,"TRON: Legacy","Adventure",1
20526,"TRON: Legacy","Action",2
20526,"TRON: Legacy","Science Fiction",3
49013,"Cars 2","Animation",1
49013,"Cars 2","Family",2
49013,"Cars 2","Adventure",3
49013,"Cars 2","Comedy",4
44912,"Green Lantern","Adventure",1
44912,"Green Lantern","Action",2
44912,"Green Lantern","Thriller",3
44912,"Green Lantern","Science Fiction",4
10193,"Toy Story 3","Animation",1
10193,"Toy Story 3","Family",2
10193,"Toy Story 3","Comedy",3
534,"Terminator Salvation","Action",1
534,"Terminator Salvation","Science Fiction",2
534,"Terminator Salvation","Thriller",3
168259,"Furious 7","Action",1
72190,"World War Z","Action",1
72190,"World War Z","Drama",2
72190,"World War Z","Horror",3
72190,"World War Z","Science Fiction",4
72190,"World War Z","Thriller",5
127585,"X-Men: Days of Future Past","Action",1
127585,"X-Men: Days of Future Past","Adventure",2
127585,"X-Men: Days of Future Past","Fantasy",3
127585,"X-Men: Days of Future Past","Science Fiction",4
54138,"Star Trek Into Darkness","Action",1
54138,"Star Trek Into Darkness","Adventure",2
54138,"Star Trek Into Darkness","Science Fiction",3
81005,"Jack the Giant Slayer","Action",1
81005,"Jack the Giant Slayer","Family",2
81005,"Jack the Giant Slayer","Fantasy",3
64682,"The Great Gatsby","Drama",1
64682,"The Great Gatsby","Romance",2
9543,"Prince of Persia: The Sands of Time","Adventure",1
9543,"Prince of Persia: The Sands of Time","Fantasy",2
9543,"Prince of Persia: The Sands of Time","Action",3
9543,"Prince of Persia: The Sands of Time","Romance",4
68726,"Pacific Rim","Action",1
68726,"Pacific Rim","Science Fiction",2
68726,"Pacific Rim","Adventure",3
38356,"Transformers: Dark of the Moon","Action",1
38356,"Transformers: Dark of the Moon","Science Fiction",2
38356,"Transformers: Dark of the Moon","Adventure",3
217,"Indiana Jones and the Kingdom of the Crystal Skull","Adventure",1
217,"Indiana Jones and the Kingdom of the Crystal Skull","Action",2
105864,"The Good Dinosaur","Adventure",1
105864,"The Good Dinosaur","Animation",2
105864,"The Good Dinosaur","Family",3
62177,"Brave","Animation",1
62177,"Brave","Adventure",2
62177,"Brave","Comedy",3
62177,"Brave","Family",4
62177,"Brave","Action",5
62177,"Brave","Fantasy",6
188927,"Star Trek Beyond","Action",1
188927,"Star Trek Beyond","Adventure",2
188927,"Star Trek Beyond","Science Fiction",3
10681,"WALL·E","Animation",1
10681,"WALL·E","Family",2
5174,"Rush Hour 3","Action",1
5174,"Rush Hour 3","Comedy",2
5174,"Rush Hour 3","Crime",3
5174,"Rush Hour 3","Thriller",4
14161,"2012","Action",1
14161,"2012","Adventure",2
14161,"2012","Science Fiction",3
17979,"A Christmas Carol","Animation",1
17979,"A Christmas Carol","Drama",2
76757,"Jupiter Ascending","Science Fiction",1
76757,"Jupiter Ascending","Fantasy",2
76757,"Jupiter Ascending","Action",3
76757,"Jupiter Ascending","Adventure",4
258489,"The Legend of Tarzan","Action",1
258489,"The Legend of Tarzan","Adventure",2
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure",1
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Family",2
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Fantasy",3
246655,"X-Men: Apocalypse","Science Fiction",1
155,"The Dark Knight","Drama",1
155,"The Dark Knight","Action",2
155,"The Dark Knight","Crime",3
155,"The Dark Knight","Thriller",4
14160,"Up","Animation",1
14160,"Up","Comedy",2
14160,"Up","Family",3
14160,"Up","Adventure",4
15512,"Monsters vs Aliens","Animation",1
15512,"Monsters vs Aliens","Family",2
15512,"Monsters vs Aliens","Adventure",3
15512,"Monsters vs Aliens","Science Fiction",4
1726,"Iron Man","Action",1
1726,"Iron Man","Science Fiction",2
1726,"Iron Man","Adventure",3
44826,"Hugo","Adventure",1
44826,"Hugo","Drama",2
44826,"Hugo","Family",3
8487,"Wild Wild West","Action",1
8487,"Wild Wild West","Adventure",2
8487,"Wild Wild West","Comedy",3
8487,"Wild Wild West","Science Fiction",4
8487,"Wild Wild West","Western",5
1735,"The Mummy: Tomb of the Dragon Emperor","Adventure",1
1735,"The Mummy: Tomb of the Dragon Emperor","Action",2
1735,"The Mummy: Tomb of the Dragon Emperor","Fantasy",3
297761,"Suicide Squad","Action",1
297761,"Suicide Squad","Adventure",2
297761,"Suicide Squad","Crime",3
297761,"Suicide Squad","Fantasy",4
297761,"Suicide Squad","Science Fiction",5
2698,"Evan Almighty","Fantasy",1
2698,"Evan Almighty","Comedy",2
2698,"Evan Almighty","Family",3
137113,"Edge of Tomorrow","Action",1
137113,"Edge of Tomorrow","Science Fiction",2
9804,"Waterworld","Adventure",1
9804,"Waterworld","Action",2
14869,"G.I. Joe: The Rise of Cobra","Adventure",1
14869,"G.I. Joe: The Rise of Cobra","Action",2
14869,"G.I. Joe: The Rise of Cobra","Thriller",3
14869,"G.I. Joe: The Rise of Cobra","Science Fiction",4
150540,"Inside Out","Drama",1
150540,"Inside Out","Comedy",2
150540,"Inside Out","Animation",3
150540,"Inside Out","Family",4
278927,"The Jungle Book","Family",1
278927,"The Jungle Book","Adventure",2
278927,"The Jungle Book","Drama",3
278927,"The Jungle Book","Fantasy",4
10138,"Iron Man 2","Adventure",1
10138,"Iron Man 2","Action",2
10138,"Iron Man 2","Science Fiction",3
58595,"Snow White and the Huntsman","Adventure",1
58595,"Snow White and the Huntsman","Fantasy",2
58595,"Snow White and the Huntsman","Drama",3
102651,"Maleficent","Fantasy",1
102651,"Maleficent","Adventure",2
102651,"Maleficent","Action",3
102651,"Maleficent","Family",4
102651,"Maleficent","Romance",5
119450,"Dawn of the Planet of the Apes","Science Fiction",1
119450,"Dawn of the Planet of the Apes","Action",2
119450,"Dawn of the Planet of the Apes","Drama",3
119450,"Dawn of the Planet of the Apes","Thriller",4
79698,"The Lovers","Action",1
79698,"The Lovers","Adventure",2
79698,"The Lovers","Science Fiction",3
79698,"The Lovers","Romance",4
64686,"47 Ronin","Drama",1
64686,"47 Ronin","Action",2
64686,"47 Ronin","Adventure",3
64686,"47 Ronin","Fantasy",4
100402,"Captain America: The Winter Soldier","Action",1
100402,"Captain America: The Winter Soldier","Adventure",2
100402,"Captain America: The Winter Soldier","Science Fiction",3
10192,"Shrek Forever After","Comedy",1
10192,"Shrek Forever After","Adventure",2
10192,"Shrek Forever After","Fantasy",3
10192,"Shrek Forever After","Animation",4
10192,"Shrek Forever After","Family",5
158852,"Tomorrowland","Adventure",1
158852,"Tomorrowland","Family",2
158852,"Tomorrowland","Mystery",3
158852,"Tomorrowland","Science Fiction",4
177572,"Big Hero 6","Adventure",1
177572,"Big Hero 6","Family",2
177572,"Big Hero 6","Animation",3
177572,"Big Hero 6","Action",4
177572,"Big Hero 6","Comedy",5
82690,"Wreck-It Ralph","Family",1
82690,"Wreck-It Ralph","Animation",2
82690,"Wreck-It Ralph","Comedy",3
82690,"Wreck-It Ralph","Adventure",4
5255,"The Polar Express","Adventure",1
5255,"The Polar Express","Animation",2
5255,"The Polar Express","Family",3
5255,"The Polar Express","Fantasy",4
47933,"Independence Day: Resurgence","Action",1
47933,"Independence Day: Resurgence","Adventure",2
47933,"Independence Day: Resurgence","Science Fiction",3
10191,"How to Train Your Dragon","Fantasy",1
10191,"How to Train Your Dragon","Adventure",2
10191,"How to Train Your Dragon","Animation",3
10191,"How to Train Your Dragon","Family",4
296,"Terminator 3: Rise of the Machines","Action",1
296,"Terminator 3: Rise of the Machines","Thriller",2
296,"Terminator 3: Rise of the Machines","Science Fiction",3
118340,"Guardians of the Galaxy","Action",1
118340,"Guardians of the Galaxy","Science Fiction",2
118340,"Guardians of the Galaxy","Adventure",3
157336,"Interstellar","Adventure",1
157336,"Interstellar","Drama",2
157336,"Interstellar","Science Fiction",3
27205,"Inception","Action",1
27205,"Inception","Thriller",2
27205,"Inception","Science Fiction",3
27205,"Inception","Mystery",4
27205,"Inception","Adventure",5
315011,"Shin Godzilla","Action",1
315011,"Shin Godzilla","Adventure",2
315011,"Shin Godzilla","Drama",3
315011,"Shin Godzilla","Horror",4
315011,"Shin Godzilla","Science Fiction",5
49051,"The Hobbit: An Unexpected Journey","Adventure",1
49051,"The Hobbit: An Unexpected Journey","Fantasy",2
49051,"The Hobbit: An Unexpected Journey","Action",3
9799,"The Fast and the Furious","Action",1
9799,"The Fast and the Furious","Crime",2
9799,"The Fast and the Furious","Thriller",3
4922,"The Curious Case of Benjamin Button","Fantasy",1
4922,"The Curious Case of Benjamin Button","Drama",2
4922,"The Curious Case of Benjamin Button","Thriller",3
4922,"The Curious Case of Benjamin Button","Mystery",4
4922,"The Curious Case of Benjamin Button","Romance",5
49538,"X-Men: First Class","Action",1
49538,"X-Men: First Class","Science Fiction",2
49538,"X-Men: First Class","Adventure",3
131634,"The Hunger Games: Mockingjay - Part 2","Action",1
131634,"The Hunger Games: Mockingjay - Part 2","Adventure",2
131634,"The Hunger Games: Mockingjay - Part 2","Science Fiction",3
27022,"The Sorcerers Apprentice","Fantasy",1
27022,"The Sorcerers Apprentice","Adventure",2
27022,"The Sorcerers Apprentice","Action",3
27022,"The Sorcerers Apprentice","Comedy",4
27022,"The Sorcerers Apprentice","Drama",5
503,"Poseidon","Adventure",1
503,"Poseidon","Action",2
503,"Poseidon","Drama",3
503,"Poseidon","Thriller",4
241259,"Alice Through the Looking Glass","Fantasy",1
810,"Shrek the Third","Fantasy",1
810,"Shrek the Third","Adventure",2
810,"Shrek the Third","Animation",3
810,"Shrek the Third","Comedy",4
810,"Shrek the Third","Family",5
68735,"Warcraft","Action",1
68735,"Warcraft","Adventure",2
68735,"Warcraft","Fantasy",3
87101,"Terminator Genisys","Science Fiction",1
87101,"Terminator Genisys","Action",2
87101,"Terminator Genisys","Thriller",3
87101,"Terminator Genisys","Adventure",4
10140,"The Chronicles of Narnia: The Voyage of the Dawn Treader","Adventure",1
10140,"The Chronicles of Narnia: The Voyage of the Dawn Treader","Family",2
10140,"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fantasy",3
676,"Pearl Harbor","History",1
676,"Pearl Harbor","Romance",2
676,"Pearl Harbor","War",3
1858,"Transformers","Adventure",1
1858,"Transformers","Science Fiction",2
1858,"Transformers","Action",3
1966,"Alexander","War",1
1966,"Alexander","History",2
1966,"Alexander","Action",3
1966,"Alexander","Adventure",4
1966,"Alexander","Drama",5
1966,"Alexander","Romance",6
675,"Harry Potter and the Order of the Phoenix","Adventure",1
675,"Harry Potter and the Order of the Phoenix","Fantasy",2
675,"Harry Potter and the Order of the Phoenix","Family",3
675,"Harry Potter and the Order of the Phoenix","Mystery",4
674,"Harry Potter and the Goblet of Fire","Adventure",1
674,"Harry Potter and the Goblet of Fire","Fantasy",2
674,"Harry Potter and the Goblet of Fire","Family",3
8960,"Hancock","Fantasy",1
8960,"Hancock","Action",2
6479,"I Am Legend","Drama",1
6479,"I Am Legend","Horror",2
6479,"I Am Legend","Action",3
6479,"I Am Legend","Thriller",4
6479,"I Am Legend","Science Fiction",5
118,"Charlie and the Chocolate Factory","Adventure",1
118,"Charlie and the Chocolate Factory","Comedy",2
118,"Charlie and the Chocolate Factory","Family",3
118,"Charlie and the Chocolate Factory","Fantasy",4
2062,"Ratatouille","Animation",1
2062,"Ratatouille","Comedy",2
2062,"Ratatouille","Family",3
2062,"Ratatouille","Fantasy",4
272,"Batman Begins","Action",1
272,"Batman Begins","Crime",2
272,"Batman Begins","Drama",3
10527,"Madagascar: Escape 2 Africa","Family",1
10527,"Madagascar: Escape 2 Africa","Animation",2
18360,"Night at the Museum: Battle of the Smithsonian","Adventure",1
18360,"Night at the Museum: Battle of the Smithsonian","Fantasy",2
18360,"Night at the Museum: Battle of the Smithsonian","Action",3
18360,"Night at the Museum: Battle of the Smithsonian","Comedy",4
18360,"Night at the Museum: Battle of the Smithsonian","Family",5
2080,"X-Men Origins: Wolverine","Adventure",1
2080,"X-Men Origins: Wolverine","Action",2
2080,"X-Men Origins: Wolverine","Thriller",3
2080,"X-Men Origins: Wolverine","Science Fiction",4
605,"The Matrix Revolutions","Adventure",1
605,"The Matrix Revolutions","Action",2
605,"The Matrix Revolutions","Thriller",3
605,"The Matrix Revolutions","Science Fiction",4
109445,"Frozen","Animation",1
109445,"Frozen","Adventure",2
109445,"Frozen","Family",3
604,"The Matrix Reloaded","Adventure",1
604,"The Matrix Reloaded","Action",2
604,"The Matrix Reloaded","Thriller",3
604,"The Matrix Reloaded","Science Fiction",4
76338,"Thor: The Dark World","Action",1
76338,"Thor: The Dark World","Adventure",2
76338,"Thor: The Dark World","Fantasy",3
76341,"Mad Max: Fury Road","Action",1
76341,"Mad Max: Fury Road","Adventure",2
76341,"Mad Max: Fury Road","Science Fiction",3
76341,"Mad Max: Fury Road","Thriller",4
13448,"Angels & Demons","Thriller",1
13448,"Angels & Demons","Mystery",2
10195,"Thor","Adventure",1
10195,"Thor","Fantasy",2
10195,"Thor","Action",3
13053,"Bolt","Animation",1
13053,"Bolt","Family",2
13053,"Bolt","Adventure",3
13053,"Bolt","Comedy",4
19585,"G-Force","Fantasy",1
19585,"G-Force","Action",2
19585,"G-Force","Adventure",3
19585,"G-Force","Family",4
19585,"G-Force","Comedy",5
57165,"Wrath of the Titans","Adventure",1
62213,"Dark Shadows","Comedy",1
62213,"Dark Shadows","Fantasy",2
177677,"Mission: Impossible - Rogue Nation","Action",1
177677,"Mission: Impossible - Rogue Nation","Adventure",2
177677,"Mission: Impossible - Rogue Nation","Thriller",3
7978,"The Wolfman","Drama",1
7978,"The Wolfman","Horror",2
7978,"The Wolfman","Thriller",3
5559,"Bee Movie","Family",1
5559,"Bee Movie","Animation",2
5559,"Bee Movie","Adventure",3
5559,"Bee Movie","Comedy",4
49444,"Kung Fu Panda 2","Animation",1
49444,"Kung Fu Panda 2","Family",2
10196,"The Last Airbender","Action",1
10196,"The Last Airbender","Adventure",2
10196,"The Last Airbender","Family",3
10196,"The Last Airbender","Fantasy",4
956,"Mission: Impossible III","Adventure",1
956,"Mission: Impossible III","Action",2
956,"Mission: Impossible III","Thriller",3
117251,"White House Down","Action",1
117251,"White House Down","Drama",2
117251,"White House Down","Thriller",3
50321,"Mars Needs Moms","Adventure",1
50321,"Mars Needs Moms","Animation",2
50321,"Mars Needs Moms","Family",3
11619,"Flushed Away","Adventure",1
11619,"Flushed Away","Animation",2
11619,"Flushed Away","Comedy",3
11619,"Flushed Away","Family",4
266647,"Pan","Adventure",1
266647,"Pan","Family",2
266647,"Pan","Fantasy",3
82703,"Mr. Peabody & Sherman","Animation",1
82703,"Mr. Peabody & Sherman","Adventure",2
82703,"Mr. Peabody & Sherman","Family",3
652,"Troy","Adventure",1
652,"Troy","Drama",2
652,"Troy","War",3
80321,"Madagascar 3: Europes Most Wanted","Animation",1
80321,"Madagascar 3: Europes Most Wanted","Family",2
36669,"Die Another Day","Adventure",1
36669,"Die Another Day","Action",2
36669,"Die Another Day","Thriller",3
43074,"Ghostbusters","Action",1
43074,"Ghostbusters","Fantasy",2
43074,"Ghostbusters","Comedy",3
95,"Armageddon","Action",1
95,"Armageddon","Thriller",2
95,"Armageddon","Science Fiction",3
95,"Armageddon","Adventure",4
608,"Men in Black II","Action",1
608,"Men in Black II","Adventure",2
608,"Men in Black II","Comedy",3
608,"Men in Black II","Science Fiction",4
2310,"Beowulf","Adventure",1
2310,"Beowulf","Action",2
2310,"Beowulf","Animation",3
140300,"Kung Fu Panda 3","Action",1
140300,"Kung Fu Panda 3","Adventure",2
140300,"Kung Fu Panda 3","Animation",3
140300,"Kung Fu Panda 3","Comedy",4
140300,"Kung Fu Panda 3","Family",5
56292,"Mission: Impossible - Ghost Protocol","Action",1
56292,"Mission: Impossible - Ghost Protocol","Thriller",2
56292,"Mission: Impossible - Ghost Protocol","Adventure",3
81188,"Rise of the Guardians","Fantasy",1
81188,"Rise of the Guardians","Animation",2
81188,"Rise of the Guardians","Family",3
7552,"Fun with Dick and Jane","Comedy",1
616,"The Last Samurai","Drama",1
616,"The Last Samurai","Action",2
616,"The Last Samurai","War",3
616,"The Last Samurai","History",4
147441,"Exodus: Gods and Kings","Adventure",1
147441,"Exodus: Gods and Kings","Drama",2
147441,"Exodus: Gods and Kings","Action",3
13475,"Star Trek","Science Fiction",1
13475,"Star Trek","Action",2
13475,"Star Trek","Adventure",3
557,"Spider-Man","Fantasy",1
557,"Spider-Man","Action",2
82702,"How to Train Your Dragon 2","Fantasy",1
82702,"How to Train Your Dragon 2","Action",2
82702,"How to Train Your Dragon 2","Adventure",3
82702,"How to Train Your Dragon 2","Animation",4
82702,"How to Train Your Dragon 2","Comedy",5
82702,"How to Train Your Dragon 2","Family",6
205584,"Gods of Egypt","Fantasy",1
10048,"Stealth","Action",1
13183,"Watchmen","Action",1
13183,"Watchmen","Mystery",2
13183,"Watchmen","Science Fiction",3
944,"Lethal Weapon 4","Action",1
944,"Lethal Weapon 4","Adventure",2
944,"Lethal Weapon 4","Comedy",3
944,"Lethal Weapon 4","Crime",4
944,"Lethal Weapon 4","Thriller",5
1927,"Hulk","Drama",1
1927,"Hulk","Action",2
1927,"Hulk","Science Fiction",3
72559,"G.I. Joe: Retaliation","Adventure",1
72559,"G.I. Joe: Retaliation","Action",2
72559,"G.I. Joe: Retaliation","Science Fiction",3
72559,"G.I. Joe: Retaliation","Thriller",4
7364,"Sahara","Action",1
7364,"Sahara","Adventure",2
7364,"Sahara","Comedy",3
7364,"Sahara","Drama",4
7364,"Sahara","Mystery",5
2114,"Final Fantasy: The Spirits Within","Adventure",1
2114,"Final Fantasy: The Spirits Within","Action",2
2114,"Final Fantasy: The Spirits Within","Animation",3
2114,"Final Fantasy: The Spirits Within","Fantasy",4
2114,"Final Fantasy: The Spirits Within","Science Fiction",5
2114,"Final Fantasy: The Spirits Within","Thriller",6
1771,"Captain America: The First Avenger","Action",1
1771,"Captain America: The First Avenger","Adventure",2
1771,"Captain America: The First Avenger","Science Fiction",3
36643,"The World Is Not Enough","Adventure",1
36643,"The World Is Not Enough","Action",2
36643,"The World Is Not Enough","Thriller",3
8619,"Master and Commander: The Far Side of the World","Adventure",1
50620,"The Twilight Saga: Breaking Dawn - Part 2","Adventure",1
50620,"The Twilight Saga: Breaking Dawn - Part 2","Fantasy",2
50620,"The Twilight Saga: Breaking Dawn - Part 2","Drama",3
50620,"The Twilight Saga: Breaking Dawn - Part 2","Romance",4
65759,"Happy Feet Two","Animation",1
65759,"Happy Feet Two","Comedy",2
65759,"Happy Feet Two","Family",3
1724,"The Incredible Hulk","Science Fiction",1
1724,"The Incredible Hulk","Action",2
1724,"The Incredible Hulk","Adventure",3
267935,"The BFG","Adventure",1
267935,"The BFG","Family",2
267935,"The BFG","Fantasy",3
281957,"The Revenant","Western",1
281957,"The Revenant","Drama",2
281957,"The Revenant","Adventure",3
281957,"The Revenant","Thriller",4
77950,"Turbo","Animation",1
77950,"Turbo","Family",2
44896,"Rango","Animation",1
44896,"Rango","Comedy",2
44896,"Rango","Family",3
44896,"Rango","Western",4
44896,"Rango","Adventure",5
270946,"Penguins of Madagascar","Family",1
270946,"Penguins of Madagascar","Animation",2
270946,"Penguins of Madagascar","Adventure",3
270946,"Penguins of Madagascar","Comedy",4
2503,"The Bourne Ultimatum","Action",1
2503,"The Bourne Ultimatum","Drama",2
2503,"The Bourne Ultimatum","Mystery",3
2503,"The Bourne Ultimatum","Thriller",4
9502,"Kung Fu Panda","Adventure",1
9502,"Kung Fu Panda","Animation",2
9502,"Kung Fu Panda","Family",3
9502,"Kung Fu Panda","Comedy",4
102899,"Ant-Man","Science Fiction",1
102899,"Ant-Man","Action",2
102899,"Ant-Man","Adventure",3
101299,"The Hunger Games: Catching Fire","Adventure",1
101299,"The Hunger Games: Catching Fire","Action",2
101299,"The Hunger Games: Catching Fire","Science Fiction",3
228161,"Home","Fantasy",1
228161,"Home","Comedy",2
228161,"Home","Animation",3
228161,"Home","Science Fiction",4
228161,"Home","Family",5
74,"War of the Worlds","Adventure",1
74,"War of the Worlds","Thriller",2
74,"War of the Worlds","Science Fiction",3
8961,"Bad Boys II","Adventure",1
8961,"Bad Boys II","Action",2
8961,"Bad Boys II","Comedy",3
8961,"Bad Boys II","Thriller",4
8961,"Bad Boys II","Crime",5
417859,"Puss in Boots","Action",1
417859,"Puss in Boots","Adventure",2
417859,"Puss in Boots","Animation",3
417859,"Puss in Boots","Family",4
417859,"Puss in Boots","Fantasy",5
27576,"Salt","Action",1
27576,"Salt","Mystery",2
27576,"Salt","Thriller",3
86834,"Noah","Drama",1
86834,"Noah","Adventure",2
17578,"The Adventures of Tintin","Adventure",1
17578,"The Adventures of Tintin","Animation",2
17578,"The Adventures of Tintin","Mystery",3
673,"Harry Potter and the Prisoner of Azkaban","Adventure",1
673,"Harry Potter and the Prisoner of Azkaban","Fantasy",2
673,"Harry Potter and the Prisoner of Azkaban","Family",3
6972,"Australia","Drama",1
82700,"After Earth","Science Fiction",1
82700,"After Earth","Action",2
82700,"After Earth","Adventure",3
10567,"Dinosaur","Animation",1
10567,"Dinosaur","Family",2
181533,"Night at the Museum: Secret of the Tomb","Adventure",1
181533,"Night at the Museum: Secret of the Tomb","Comedy",2
181533,"Night at the Museum: Secret of the Tomb","Fantasy",3
181533,"Night at the Museum: Secret of the Tomb","Family",4
38055,"Megamind","Animation",1
38055,"Megamind","Action",2
38055,"Megamind","Comedy",3
38055,"Megamind","Family",4
38055,"Megamind","Science Fiction",5
671,"Harry Potter and the Philosophers Stone","Adventure",1
671,"Harry Potter and the Philosophers Stone","Fantasy",2
671,"Harry Potter and the Philosophers Stone","Family",3
49524,"R.I.P.D.","Fantasy",1
49524,"R.I.P.D.","Action",2
49524,"R.I.P.D.","Comedy",3
49524,"R.I.P.D.","Crime",4
22,"Pirates of the Caribbean: The Curse of the Black Pearl","Adventure",1
22,"Pirates of the Caribbean: The Curse of the Black Pearl","Fantasy",2
22,"Pirates of the Caribbean: The Curse of the Black Pearl","Action",3
131631,"The Hunger Games: Mockingjay - Part 1","Science Fiction",1
131631,"The Hunger Games: Mockingjay - Part 1","Adventure",2
131631,"The Hunger Games: Mockingjay - Part 1","Thriller",3
591,"The Da Vinci Code","Thriller",1
591,"The Da Vinci Code","Mystery",2
172385,"Rio 2","Animation",1
172385,"Rio 2","Adventure",2
172385,"Rio 2","Comedy",3
172385,"Rio 2","Family",4
36658,"X2","Adventure",1
36658,"X2","Action",2
36658,"X2","Science Fiction",3
36658,"X2","Thriller",4
51497,"Fast Five","Action",1
51497,"Fast Five","Thriller",2
51497,"Fast Five","Crime",3
58574,"Sherlock Holmes: A Game of Shadows","Adventure",1
58574,"Sherlock Holmes: A Game of Shadows","Action",2
